16 1 1 2 2 3 3 1 1524    0 
16 1 0 2 3 3 3 1  646    0 
16 1 0 3 0 4 4 1  627    0 
16 1 1 1 1 2 2 1  689    0 
16 1 0 1 2 2 2 1  612   18 
16 1 1 1 1 2 2 1  499    0 
16 1 0 3 0 4 3 0  534    0 
16 1 1 0 0 1 1 1  598    0 
16 1 1 3 3 4 2 0  597    0 
16 1 0 2 3 3 4 0  530    0 
16 1 1 2 2 3 3 1  602    0 
16 1 1 0 0 1 1 1  521    0 
16 1 1 0 0 1 1 1  483    0 
16 1 0 2 3 3 3 1  958    0 
16 1 1 1 1 2 2 1  743    0 
16 1 0 2 3 3 3 1  584    0 
16 1 1 2 2 3 3 1  495    0 
16 1 0 0 1 1 1 1  683    0 
16 1 0 2 3 3 3 1  654    0 
16 1 0 1 2 2 4 0  555    0 
16 1 1 2 2 3 3 1  625    0 
16 1 0 1 2 2 2 1  615    0 
16 1 0 1 2 2 2 1  566    0 
16 1 0 2 3 3 3 1  750    0 
16 1 0 1 2 2 2 1  591    0 
16 1 1 1 1 2 2 1  798    0 
16 1 0 1 2 2 2 1  525    0 
16 1 1 1 1 2 2 1  511    0 
16 1 0 2 3 3 3 1  666    0 
16 1 1 3 3 4 4 1  567    0 
16 1 1 0 0 1 1 1  519    0 
16 1 0 2 3 3 3 1  617    0 
16 1 1 2 2 3 3 1  471    0 
16 1 0 1 2 2 2 1  659    0 
16 1 0 3 0 4 4 1  719    0 
16 1 0 2 3 3 3 1  705    0 
16 1 1 0 0 1 1 1  540    0 
16 1 0 2 3 3 3 1  773    0 
16 1 0 0 1 1 1 1  629    0 
16 1 1 1 1 2 2 1  675    0 
16 1 1 2 2 3 3 1  623    0 
16 1 1 0 0 1 1 1  461    0 
16 1 1 2 2 3 3 1  490    0 
16 1 1 2 2 3 3 1  421    0 
16 1 0 1 2 2 2 1  675    0 
16 1 0 2 3 3 3 1  703    0 
16 1 1 3 3 4 4 1  530    0 
16 1 0 1 2 2 3 0  532    0 
16 1 0 2 3 3 3 1  764    0 
16 1 1 0 0 1 1 1  484    0 
16 1 0 1 2 2 3 0  520    0 
16 1 1 0 0 1 1 1  472    0 
16 1 1 0 0 1 1 1  540    0 
16 1 0 1 2 2 2 1  669    0 
16 1 1 0 0 1 1 1  521    0 
16 1 0 2 3 3 3 1  683    0 
16 1 0 2 3 3 3 1  510    0 
16 1 1 0 0 1 1 1  521    0 
16 1 0 0 1 1 1 1  523    0 
16 1 0 1 2 2 3 0  725    0 
16 1 1 0 0 1 1 1  533    0 
16 1 1 3 3 4 4 1  638    0 
16 1 1 3 3 4 4 1  500    0 
16 1 0 1 2 2 2 1  670    0 
16 1 1 3 3 4 4 1  570    0 
16 1 0 2 3 3 4 0  570    0 
16 1 1 2 2 3 3 1  872    0 
16 1 1 1 1 2 2 1  732    0 
16 1 1 2 2 3 3 1  550    0 
16 1 0 1 2 2 2 1  607    0 
16 1 1 2 2 3 3 1  478    0 
16 1 1 0 0 1 1 1  513    0 
16 1 0 1 2 2 2 1  724    0 
16 1 1 0 0 1 1 1  470    0 
16 1 0 3 0 4 4 1  578    0 
16 1 0 1 2 2 2 1  594    0 
16 1 1 3 3 4 4 1  529    0 
16 1 0 1 2 2 2 1  731    0 
16 1 0 2 3 3 3 1  493    0 
16 1 1 0 0 1 1 1  465    0 
16 1 1 3 3 4 4 1  637    0 
16 1 1 3 3 4 4 1  435    0 
16 1 0 3 0 4 4 1  456    0 
16 1 1 3 3 4 4 1  461    0 
16 1 1 3 3 4 4 1  449    0 
16 1 0 3 0 4 4 1  423    0 
16 1 1 2 2 3 3 1  621    0 
16 1 1 0 0 1 1 1  443    0 
16 1 1 2 2 3 3 1  472    0 
16 1 1 0 0 1 1 1  540    0 
16 1 1 0 0 1 1 1  429    0 
16 1 0 1 2 2 3 0  459    0 
16 1 1 0 0 1 1 1  558    0 
16 1 1 0 0 1 1 1  455    0 
16 1 0 1 2 2 2 1  499    0 
16 1 0 1 2 2 2 1  455    0 
16 1 0 3 0 4 1 0  483    0 
16 1 0 3 0 4 4 1  477    0 
16 1 1 3 3 4 4 1  449    0 
16 1 1 3 3 4 4 1  438    0 
16 1 0 1 2 2 1 0  651    0 
16 1 0 0 1 1 1 1  566    0 
16 1 1 3 3 4 4 1  630    0 
16 1 1 1 1 2 2 1  556    0 
16 1 0 1 2 2 2 1  565    0 
16 1 1 0 0 1 1 1  494    0 
16 1 0 3 0 4 4 1  585    0 
16 1 0 3 0 4 4 1  592    0 
16 1 0 3 0 4 4 1  392    0 
16 1 0 3 0 4 4 1  463    0 
16 1 0 3 0 4 4 1  468    0 
16 1 0 2 3 3 3 1  680    0 
16 1 0 1 2 2 2 1  556    0 
16 1 1 3 3 4 4 1  596    0 
16 1 0 1 2 2 1 0  548    0 
16 1 0 0 1 1 1 1  635    0 
16 1 0 1 2 2 2 1  440    0 
16 1 1 3 3 4 4 1  574    0 
16 1 1 0 0 1 1 1  598    0 
16 1 1 1 1 2 4 0  565    0 
16 1 1 3 3 4 3 0  644    0 
