16 1 0 2 3 4 0 1057    0 
16 1 0 1 2 2 1  595    0 
16 1 0 0 1 1 1  595    0 
16 1 0 2 3 3 1  610    0 
16 1 0 1 2 2 1  680    0 
16 1 0 1 2 2 1  492    0 
16 1 0 0 1 2 0  464    0 
16 1 0 0 1 1 1  363    0 
16 1 0 2 3 3 1  683    0 
16 1 0 3 4 4 1  430    0 
16 1 0 3 4 4 1  612    0 
16 1 0 0 1 3 0  443    0 
16 1 0 2 3 4 0  614    0 
16 1 0 3 4 4 1  587    0 
16 1 0 1 2 2 1  578    0 
16 1 0 2 3 3 1  762    0 
16 1 0 2 3 3 1  571    0 
16 1 0 1 2 2 1  515    0 
16 1 0 3 4 4 1  582    0 
16 1 0 1 2 2 1  446    0 
16 1 0 2 3 3 1  555   16 
16 1 0 1 2 2 1  572    0 
16 1 0 3 4 4 1  564    0 
16 1 0 3 4 4 1  548    0 
16 1 0 0 1 1 1  582    0 
16 1 0 3 4 4 1  694    0 
16 1 0 1 2 2 1  545    0 
16 1 0 2 3 3 1  514    0 
16 1 0 0 1 1 1  517    0 
16 1 0 3 4 4 1  503    0 
16 1 0 0 1 2 0  530    0 
16 1 0 3 4 4 1  609    0 
16 1 0 0 1 1 1  552    0 
16 1 0 0 1 1 1  465    0 
16 1 0 0 1 1 1  422    0 
16 1 0 3 4 4 1  475    0 
16 1 0 0 1 1 1  543    0 
16 1 0 3 4 4 1  529    0 
16 1 0 0 1 1 1  491    0 
16 1 0 3 4 4 1  550    0 
16 1 0 2 3 3 1  367    0 
16 1 0 2 3 3 1  463    0 
16 1 0 0 1 2 0  499    0 
16 1 0 2 3 1 0  420    0 
16 1 0 2 3 3 1  384    0 
16 1 0 3 4 4 1  575    0 
16 1 0 3 4 4 1  511    0 
16 1 0 2 3 3 1  562    0 
16 1 0 2 3 4 0  499    0 
16 1 0 0 1 1 1  508    0 
16 1 0 1 2 2 1  671    0 
16 1 0 3 4 4 1  475    0 
16 1 0 0 1 1 1  527    0 
16 1 0 3 4 4 1  505    0 
16 1 0 0 1 1 1  467    0 
16 1 0 2 3 3 1  527    0 
16 1 0 2 3 1 0  441    0 
16 1 0 3 4 4 1  621    0 
16 1 0 1 2 2 1  458    0 
16 1 0 3 4 4 1  599    0 
16 1 0 3 4 4 1  438    0 
16 1 0 1 2 2 1  588    0 
16 1 0 2 3 3 1  459    0 
16 1 0 1 2 2 1  632    0 
16 1 0 0 1 1 1  534    0 
16 1 0 1 2 2 1  607    0 
16 1 0 2 3 3 1  526    0 
16 1 0 1 2 3 0  464    0 
16 1 0 1 2 2 1  570    0 
16 1 0 0 1 1 1  474    0 
16 1 0 1 2 2 1  494    0 
16 1 0 3 4 4 1  490    0 
16 1 0 1 2 2 1  477    0 
16 1 0 1 2 2 1  425    0 
16 1 0 0 1 2 0  471    0 
16 1 0 2 3 3 1  665    0 
16 1 0 1 2 2 1  494    0 
16 1 0 3 4 4 1  537    0 
16 1 0 2 3 4 0  530    0 
16 1 0 3 4 4 1  570    0 
16 1 0 2 3 3 1  538    0 
16 1 0 2 3 3 1  564    0 
16 1 0 1 2 2 1  620    0 
16 1 0 0 1 1 1  578    0 
16 1 0 1 2 4 0  642    0 
16 1 0 0 1 1 1  526    0 
16 1 0 3 4 4 1  552    0 
16 1 0 1 2 2 1  592    0 
16 1 0 1 2 2 1  615    0 
16 1 0 0 1 1 1  550    0 
16 1 0 2 3 3 1  407    0 
16 1 0 3 4 4 1  373    0 
16 1 0 2 3 3 1  549    0 
16 1 0 0 1 1 1  470    0 
16 1 0 1 2 2 1  490    0 
16 1 0 0 1 1 1  493    0 
