23 1 1 0 0 1 0 0 5000    4 
23 1 1 3 3 4 0 0 5000    5 
23 1 1 1 1 2 2 1  942    5 
23 1 1 2 2 3 3 1  834    5 
23 1 0 2 3 3 3 1  611    5 
23 1 1 0 0 1 1 1  869    5 
23 1 0 2 3 3 3 1  789    5 
23 1 1 0 0 1 1 1  815    4 
23 1 1 3 3 4 4 1  945    4 
23 1 0 0 1 1 1 1  717    4 
23 1 0 1 2 2 2 1  827    5 
23 1 1 1 1 2 1 0  741    5 
23 1 1 0 0 1 2 0  695    4 
23 1 1 1 1 2 2 1  835    4 
23 1 0 3 0 4 4 1  580    5 
23 1 0 1 2 2 2 1  680    4 
23 1 0 3 0 4 4 1  687    4 
23 1 0 2 3 3 3 1  678    4 
23 1 0 3 0 4 4 1  734    4 
23 1 1 2 2 3 3 1  915    5 
23 1 1 1 1 2 2 1  673    4 
23 1 1 3 3 4 4 1  952    5 
23 1 0 0 1 1 1 1  740    4 
23 1 1 2 2 3 4 0  713    5 
23 1 0 3 0 4 4 1  852    5 
23 1 0 2 3 3 3 1  605    5 
23 1 1 3 3 4 4 1  887    4 
23 1 0 0 1 1 1 1  630    4 
23 1 1 3 3 4 4 1  591    5 
23 1 1 1 1 2 2 1  674    5 
23 1 0 0 1 1 1 1  538    4 
23 1 1 0 0 1 1 1  615    5 
23 1 0 3 0 4 4 1  586    4 
23 1 1 3 3 4 4 1  397    4 
23 1 1 3 3 4 4 1  417    5 
23 1 1 3 3 4 4 1  428    5 
23 1 0 3 0 4 4 1  566    5 
23 1 0 1 2 2 2 1  619    5 
23 1 1 2 2 3 3 1  605    4 
23 1 0 2 3 3 3 1  440    4 
23 1 1 0 0 1 1 1  833    5 
23 1 0 0 1 1 1 1  458    4 
23 1 1 0 0 1 1 1  363    4 
23 1 1 3 3 4 4 1  552    4 
23 1 0 1 2 2 2 1  669    4 
23 1 0 0 1 1 1 1  549    4 
23 1 1 2 2 3 3 1  571    4 
23 1 1 1 1 2 2 1  567    5 
23 1 1 1 1 2 2 1  499    5 
23 1 0 2 3 3 4 0  699    4 
23 1 0 2 3 3 3 1  719    4 
23 1 1 3 3 4 4 1  389    5 
23 1 0 0 1 1 1 1  473    4 
23 1 0 1 2 2 2 1  681    4 
23 1 0 0 1 1 1 1  520    4 
23 1 1 0 0 1 1 1  406    5 
23 1 0 2 3 3 4 0  522    4 
23 1 1 1 1 2 2 1  741    4 
